Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
GWSS_E_00168_SE_01	7,39	13,92	23,05	5,22	
GWSS_E_00169_SE_01	3,37	7,30	15,73	6,74	
GWSS_E_00170_SE_01	8,03	5,11	23,36	6,57	
GWSS_E_00171_SE_01	7,57	6,58	31,93	10,86	
GWSS_E_00172_SE_01	3,81	5,72	5,72	2,86	
GWSS_E_00173_SE_01	6,02	4,02	14,06	6,02	
GWSS_E_00174_SE_01	8,17	8,17	16,35	4,09	
GWSS_E_00175_SE_01	5,70	9,00	13,60	5,48	
GWSS_E_00176_SE_01	5,84	16,56	14,29	4,22	
GWSS_E_00177_SE_01	3,83	11,50	21,35	7,66	
GWSS_E_00178_SE_01	6,27	17,63	7,83	2,74	
GWSS_E_00179_SE_01	2,21	6,19	9,73	1,77	
GWSS_E_00180_SE_01	4,61	5,07	11,52	5,53	
GWSS_E_00181_SE_01	2,78	18,98	21,30	9,72	
GWSS_E_00182_SE_01	13,54	4,40	9,81	6,09	
GWSS_E_00183_SE_01	5,94	6,93	6,93	0,50	
GWSS_E_00184_SE_01	5,90	8,53	8,20	1,97	
GWSS_E_00185_SE_01	3,66	13,16	16,45	2,56	
GWSS_E_00186_SE_01	2,65	4,64	16,58	4,64	
GWSS_E_00187_SE_01	6,71	9,70	15,29	5,59	
GWSS_E_00188_SE_01	4,21	6,58	13,41	5,00	
GWSS_E_00189_SE_01	5,41	17,38	13,68	4,27	
GWSS_E_00190_SE_01	4,65	9,03	10,40	2,19	
GWSS_E_00191_SE_01	4,61	4,90	8,36	1,44	
GWSS_E_00192_SE_01	4,82	8,88	6,85	2,54	
GWSS_E_00193_SE_01	5,23	13,09	10,21	2,36	
GWSS_E_00194_SE_01	4,28	8,96	7,01	2,34	
GWSS_E_00195_SE_01	4,99	2,30	10,74	0,77	
GWSS_E_00196_SE_01	7,32	7,32	12,61	3,66	
GWSS_E_00197_SE_01	3,94	5,92	5,63	1,41	
GWSS_E_00198_SE_01	2,28	7,61	9,51	2,66	
GWSS_E_00199_SE_01	4,95	11,82	9,62	3,57	
GWSS_E_00200_SE_01	6,78	10,58	7,87	1,90	
GWSS_E_00201_SE_01	2,33	15,13	10,87	1,55	
GWSS_E_00202_SE_01	7,16	15,01	8,53	1,36	
GWSS_E_00203_SE_01	6,00	8,26	7,13	1,88	
GWSS_E_00204_SE_01	8,57	10,97	5,35	0,54	
GWSS_E_00205_SE_01	7,31	4,06	14,07	1,89	
GWSS_E_00206_SE_01	5,55	5,88	9,47	2,29	
GWSS_E_00207_SE_01	8,02	3,21	8,02	2,41	
GWSS_E_00208_SE_01	3,39	7,92	9,05	0,00	
GWSS_E_00209_SE_01	3,70	4,17	7,87	3,70	
GWSS_E_00210_SE_01	4,10	16,42	15,05	1,37	
GWSS_E_00211_SE_01	6,04	7,43	8,36	3,25	
GWSS_E_00212_SE_01	3,66	2,44	6,82	2,68	
GWSS_E_00213_SE_01	4,42	4,42	8,11	1,47	
GWSS_E_00214_SE_01	4,83	1,21	4,83	2,41	
GWSS_E_00215_SE_01	9,86	7,40	20,96	6,17	
GWSS_E_00216_SE_01	4,74	5,53	6,32	0,79	
GWSS_E_00217_SE_01	1,64	10,66	9,02	2,46	
GWSS_E_00218_SE_01	4,50	4,50	11,25	2,25	
GWSS_E_00219_SE_01	1,14	7,99	20,55	1,14	
GWSS_E_00220_SE_01	4,55	7,16	8,46	2,60	
GWSS_E_00221_SE_01	4,93	1,64	6,58	0,00	
GWSS_E_00222_SE_01	1,08	5,38	11,83	4,30	
GWSS_E_00223_SE_01	1,49	8,92	2,97	0,00	
GWSS_E_00224_SE_01	4,42	17,66	2,21	0,00	
GWSS_E_00225_SE_01	5,24	3,28	5,24	0,98	
GWSS_E_00226_SE_01	3,84	5,58	11,16	2,79	
GWSS_E_00227_SE_01	2,61	6,08	5,50	2,03	
GWSS_E_00228_SE_01	5,05	7,13	4,16	1,19	
GWSS_E_00229_SE_01	2,67	9,96	6,07	0,73	
GWSS_E_00230_SE_01	6,53	7,55	11,64	6,74	
GWSS_E_00231_SE_01	4,84	13,27	19,59	6,11	
GWSS_E_00232_SE_01	3,83	8,57	12,17	4,51	
GWSS_E_00233_SE_01	5,97	7,17	26,28	9,16	
GWSS_E_00234_SE_01	10,64	10,95	17,64	6,08	
GWSS_E_00235_SE_01	4,63	5,89	8,63	2,31	
GWSS_E_00236_SE_01	5,49	11,80	14,22	5,82	
GWSS_E_00237_SE_01	6,32	8,31	9,39	3,97	
GWSS_E_00238_SE_01	6,38	7,40	30,12	8,68	
GWSS_E_00239_SE_01	4,62	9,54	13,54	2,77	
GWSS_E_00240_SE_01	5,84	6,53	14,43	5,15	
GWSS_E_00241_SE_01	9,14	9,14	6,77	2,03	
GWSS_E_00242_SE_01	5,72	5,93	6,75	3,68	
GWSS_E_00243_SE_01	6,31	3,34	11,50	2,23	
GWSS_E_00244_SE_01	6,36	4,43	9,68	3,04	
GWSS_E_00245_SE_01	3,67	11,69	12,35	3,01	
GWSS_E_00246_SE_01	4,20	6,94	13,32	3,65	
GWSS_E_00247_SE_01	6,58	6,30	9,16	2,86	
GWSS_E_00248_SE_01	8,07	10,84	12,22	4,38	
GWSS_E_00300_SE_01	1,16	4,63	10,43	3,48	
GWSS_E_00300_SE_02	3,71	2,48	4,95	0,00	
GWSS_E_00301_SE_01	2,49	1,24	6,22	1,24	
GWSS_E_00301_SE_02	3,37	1,69	5,06	0,00	
GWSS_E_00302_SE_01	4,79	17,24	15,33	2,87	
GWSS_E_00302_SE_02	0,00	2,32	2,32	0,00	
GWSS_E_00303_SE_01	0,00	3,44	8,59	1,72	
GWSS_E_00303_SE_02	0,00	6,35	3,17	0,00	
GWSS_E_00304_SE_01	1,00	3,01	8,02	3,01	
GWSS_E_00304_SE_02	3,46	1,98	5,93	0,49	
GWSS_E_00305_SE_01	4,55	4,55	1,52	0,00	
GWSS_E_00305_SE_02	5,75	0,00	0,00	0,00	
GWSS_E_00306_SE_01	0,00	4,03	5,38	2,69	
GWSS_E_00306_SE_02	3,93	3,15	4,72	1,57	
GWSS_E_00307_SE_01	1,77	10,60	1,77	1,77	
GWSS_E_00307_SE_02	7,36	1,47	5,89	1,47	
GWSS_E_00308_SE_01	0,00	20,36	20,36	4,52	
GWSS_E_00308_SE_02	3,75	1,88	5,63	1,88	
GWSS_E_00309_SE_01	5,46	1,37	12,30	6,83	
GWSS_E_00309_SE_02	3,30	1,32	4,62	2,64	
GWSS_E_00310_SE_01	0,00	2,48	0,00	0,00	
GWSS_E_00310_SE_02	4,34	2,89	11,58	2,89	
GWSS_E_00311_SE_01	5,37	1,79	4,48	0,90	
GWSS_E_00311_SE_02	0,00	0,00	3,89	3,89	
GWSS_E_00312_SE_01	0,00	6,47	4,85	1,62	
GWSS_E_00312_SE_02	10,94	3,65	7,29	4,86	
GWSS_E_00313_SE_01	1,98	1,98	21,74	3,95	
GWSS_E_00313_SE_02	2,40	1,20	6,01	3,61	
GWSS_E_00314_SE_01	1,85	0,00	16,64	9,24	
GWSS_E_00314_SE_02	6,92	0,00	6,92	1,73	
GWSS_E_00315_SE_01	1,95	0,00	1,95	0,00	
GWSS_E_00315_SE_02	0,98	3,91	6,84	0,98	
GWSS_E_00316_SE_01	1,51	6,02	4,52	0,00	
GWSS_E_00316_SE_02	0,00	1,85	0,00	0,00	
GWSS_E_00317_SE_01	2,74	0,00	8,23	1,37	
GWSS_E_00317_SE_02	2,48	0,00	2,48	2,48	
GWSS_E_00318_SE_01	0,00	2,18	6,55	4,37	
GWSS_E_00318_SE_02	3,55	3,55	2,84	0,71	
