Speech Event	tokens	content	ratio
FOLK_E_00053_SE_01	3262	1197	0,37	
FOLK_E_00055_SE_01	30702	11683	0,38	
FOLK_E_00056_SE_01	5945	2253	0,38	
FOLK_E_00057_SE_01	9080	3503	0,39	
FOLK_E_00058_SE_01	9836	3966	0,40	
FOLK_E_00059_SE_01	8089	3269	0,40	
FOLK_E_00060_SE_01	5759	2168	0,38	
FOLK_E_00061_SE_01	4893	1963	0,40	
FOLK_E_00062_SE_01	4469	1880	0,42	
FOLK_E_00064_SE_01	52001	23380	0,45	
FOLK_E_00066_SE_01	24815	10424	0,42	
FOLK_E_00068_SE_01	51248	22888	0,45	
FOLK_E_00069_SE_01	50817	22787	0,45	
FOLK_E_00070_SE_01	53422	23937	0,45	
FOLK_E_00074_SE_01	5975	2155	0,36	
FOLK_E_00076_SE_01	2022	976	0,48	
FOLK_E_00077_SE_01	3976	1599	0,40	
FOLK_E_00079_SE_01	3984	1612	0,40	
FOLK_E_00080_SE_01	2395	881	0,37	
FOLK_E_00081_SE_01	1075	414	0,39	
FOLK_E_00082_SE_01	9390	3485	0,37	
FOLK_E_00083_SE_01	5365	2558	0,48	
FOLK_E_00084_SE_01	14731	5511	0,37	
FOLK_E_00085_SE_01	692	262	0,38	
FOLK_E_00086_SE_01	2706	1125	0,42	
FOLK_E_00087_SE_01	1914	754	0,39	
FOLK_E_00088_SE_01	3080	1180	0,38	
FOLK_E_00089_SE_01	3166	1239	0,39	
FOLK_E_00090_SE_01	2856	1154	0,40	
FOLK_E_00091_SE_01	2912	1208	0,41	
FOLK_E_00092_SE_01	1677	580	0,35	
FOLK_E_00093_SE_01	2900	1163	0,40	
FOLK_E_00094_SE_01	3061	1168	0,38	
FOLK_E_00095_SE_01	2700	1101	0,41	
FOLK_E_00096_SE_01	1036	454	0,44	
FOLK_E_00097_SE_01	1731	673	0,39	
FOLK_E_00098_SE_01	1358	598	0,44	
FOLK_E_00099_SE_01	3026	1186	0,39	
FOLK_E_00100_SE_01	3213	1238	0,39	
FOLK_E_00101_SE_01	3242	1319	0,41	
FOLK_E_00102_SE_01	1484	618	0,42	
FOLK_E_00103_SE_01	4353	1636	0,38	
FOLK_E_00104_SE_01	1394	537	0,39	
FOLK_E_00105_SE_01	5099	1926	0,38	
FOLK_E_00106_SE_01	1908	761	0,40	
FOLK_E_00107_SE_01	1145	453	0,40	
FOLK_E_00108_SE_01	2192	906	0,41	
FOLK_E_00109_SE_01	1542	648	0,42	
FOLK_E_00110_SE_01	3190	1270	0,40	
FOLK_E_00111_SE_01	2492	1159	0,47	
FOLK_E_00112_SE_01	2048	881	0,43	
FOLK_E_00113_SE_01	1345	633	0,47	
FOLK_E_00114_SE_01	9281	3959	0,43	
FOLK_E_00115_SE_01	3963	1741	0,44	
FOLK_E_00116_SE_01	497	251	0,51	
FOLK_E_00117_SE_01	3353	1562	0,47	
FOLK_E_00118_SE_01	5185	2305	0,44	
FOLK_E_00119_SE_01	6790	2713	0,40	
FOLK_E_00120_SE_01	4860	1953	0,40	
FOLK_E_00121_SE_01	11769	4964	0,42	
FOLK_E_00123_SE_01	2419	1150	0,48	
FOLK_E_00124_SE_01	5226	2318	0,44	
FOLK_E_00125_SE_01	7677	3241	0,42	
FOLK_E_00126_SE_01	14933	7003	0,47	
FOLK_E_00127_SE_01	3414	1411	0,41	
FOLK_E_00128_SE_01	10985	4691	0,43	
FOLK_E_00129_SE_01	8420	3171	0,38	
FOLK_E_00130_SE_01	7132	2754	0,39	
FOLK_E_00132_SE_01	55570	21658	0,39	
FOLK_E_00133_SE_01	5277	2071	0,39	
FOLK_E_00134_SE_01	2931	1199	0,41	
FOLK_E_00135_SE_01	1370	570	0,42	
FOLK_E_00136_SE_01	2175	888	0,41	
FOLK_E_00137_SE_01	596	242	0,41	
FOLK_E_00138_SE_01	2256	908	0,40	
FOLK_E_00139_SE_01	1026	388	0,38	
FOLK_E_00140_SE_01	2368	894	0,38	
FOLK_E_00141_SE_01	1079	445	0,41	
FOLK_E_00142_SE_01	1412	573	0,41	
FOLK_E_00143_SE_01	29759	11785	0,40	
FOLK_E_00144_SE_01	6050	2467	0,41	
FOLK_E_00146_SE_01	6080	2883	0,47	
FOLK_E_00147_SE_01	14394	5924	0,41	
FOLK_E_00148_SE_01	11238	4200	0,37	
FOLK_E_00150_SE_01	2023	841	0,42	
FOLK_E_00151_SE_01	1127	440	0,39	
