Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00134_SE_01	7,88	7,20	0,69	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00135_SE_01	8,78	2,93	0,00	0,73	0,00	0,00	3,66	1,46	
FOLK_E_00136_SE_01	2,77	0,92	0,00	0,00	0,00	0,00	0,46	1,38	
FOLK_E_00137_SE_01	6,71	6,71	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00138_SE_01	6,68	4,90	0,00	0,45	0,00	0,00	0,89	0,45	
FOLK_E_00139_SE_01	5,85	2,93	0,00	0,98	0,98	0,00	0,98	0,00	
FOLK_E_00140_SE_01	5,09	3,82	0,00	0,00	0,00	0,00	0,00	1,27	
FOLK_E_00141_SE_01	5,59	3,73	0,00	0,00	0,00	0,00	0,93	0,93	
FOLK_E_00142_SE_01	9,94	6,39	0,00	0,00	0,00	0,00	2,84	0,71	
FOLK_E_00143_SE_01	2,70	1,40	0,07	0,10	0,27	0,00	0,24	0,61	
FOLK_E_00144_SE_01	8,85	4,17	0,00	0,83	0,00	0,00	1,50	2,34	
FOLK_E_00146_SE_01	13,73	10,42	0,00	0,99	0,00	0,00	0,83	1,49	
FOLK_E_00147_SE_01	1,96	0,70	0,00	0,00	0,35	0,28	0,21	0,42	
FOLK_E_00148_SE_01	6,29	2,52	0,36	0,36	0,81	0,18	1,26	0,81	
FOLK_E_00150_SE_01	9,41	5,94	0,50	0,00	0,00	0,50	0,50	1,98	
FOLK_E_00151_SE_01	5,35	4,46	0,89	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00152_SE_01	5,12	2,85	0,49	0,24	0,33	0,00	0,24	0,98	
FOLK_E_00153_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00154_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00155_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00156_SE_01	4,12	0,82	0,00	0,00	1,65	1,65	0,00	0,00	
FOLK_E_00157_SE_01	7,96	4,49	0,00	0,29	0,00	1,74	0,00	1,45	
FOLK_E_00158_SE_01	11,86	3,95	0,00	0,00	0,00	0,00	3,95	3,95	
FOLK_E_00159_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00160_SE_01	7,75	4,10	1,22	1,52	0,46	0,00	0,15	0,30	
FOLK_E_00161_SE_01	4,08	2,82	0,00	0,05	0,05	0,05	0,42	0,68	
