Speech Event	tokens	content	ratio
GWSS_E_00177_SE_01	5518	2486	0,45	
GWSS_E_00178_SE_01	2565	1059	0,41	
GWSS_E_00179_SE_01	2263	893	0,39	
GWSS_E_00180_SE_01	2179	896	0,41	
GWSS_E_00181_SE_01	2166	882	0,41	
GWSS_E_00182_SE_01	2958	1128	0,38	
GWSS_E_00183_SE_01	2023	795	0,39	
GWSS_E_00184_SE_01	3056	1190	0,39	
GWSS_E_00185_SE_01	2741	1172	0,43	
GWSS_E_00186_SE_01	1513	641	0,42	
GWSS_E_00187_SE_01	2686	1172	0,44	
GWSS_E_00188_SE_01	3811	1561	0,41	
GWSS_E_00189_SE_01	3513	1357	0,39	
GWSS_E_00190_SE_01	3656	1347	0,37	
GWSS_E_00191_SE_01	3472	1332	0,38	
GWSS_E_00192_SE_01	3952	1299	0,33	
GWSS_E_00193_SE_01	3827	1361	0,36	
GWSS_E_00194_SE_01	2572	1072	0,42	
GWSS_E_00195_SE_01	2607	1131	0,43	
GWSS_E_00196_SE_01	2467	971	0,39	
GWSS_E_00197_SE_01	3554	1348	0,38	
GWSS_E_00198_SE_01	2631	980	0,37	
GWSS_E_00199_SE_01	3644	1426	0,39	
GWSS_E_00200_SE_01	3688	1246	0,34	
GWSS_E_00201_SE_01	2582	949	0,37	
GWSS_E_00202_SE_01	2938	1080	0,37	
GWSS_E_00203_SE_01	2666	1040	0,39	
GWSS_E_00204_SE_01	3741	1563	0,42	
GWSS_E_00205_SE_01	3704	1482	0,40	
GWSS_E_00206_SE_01	3066	1133	0,37	
GWSS_E_00207_SE_01	2499	1016	0,41	
GWSS_E_00208_SE_01	887	361	0,41	
GWSS_E_00209_SE_01	2176	843	0,39	
GWSS_E_00210_SE_01	736	295	0,40	
GWSS_E_00211_SE_01	2181	803	0,37	
GWSS_E_00212_SE_01	4168	1566	0,38	
GWSS_E_00213_SE_01	1372	545	0,40	
GWSS_E_00214_SE_01	855	299	0,35	
GWSS_E_00215_SE_01	825	383	0,46	
GWSS_E_00216_SE_01	1269	490	0,39	
GWSS_E_00217_SE_01	1233	420	0,34	
GWSS_E_00218_SE_01	895	408	0,46	
GWSS_E_00219_SE_01	878	392	0,45	
GWSS_E_00220_SE_01	1548	654	0,42	
GWSS_E_00221_SE_01	613	215	0,35	
GWSS_E_00222_SE_01	966	394	0,41	
GWSS_E_00223_SE_01	688	262	0,38	
GWSS_E_00224_SE_01	457	175	0,38	
GWSS_E_00225_SE_01	3074	1211	0,39	
GWSS_E_00226_SE_01	2887	1164	0,40	
GWSS_E_00227_SE_01	3482	1343	0,39	
GWSS_E_00228_SE_01	3381	1350	0,40	
GWSS_E_00229_SE_01	4156	1648	0,40	
GWSS_E_00230_SE_01	4932	1892	0,38	
GWSS_E_00231_SE_01	4773	2126	0,45	
GWSS_E_00232_SE_01	4466	1986	0,44	
GWSS_E_00233_SE_01	2521	1316	0,52	
GWSS_E_00234_SE_01	3303	1716	0,52	
GWSS_E_00235_SE_01	4779	1792	0,37	
GWSS_E_00236_SE_01	6213	2820	0,45	
GWSS_E_00237_SE_01	5564	2491	0,45	
GWSS_E_00238_SE_01	3941	1808	0,46	
GWSS_E_00239_SE_01	3270	1467	0,45	
GWSS_E_00240_SE_01	2918	1292	0,44	
GWSS_E_00241_SE_01	2983	1097	0,37	
GWSS_E_00242_SE_01	4912	2105	0,43	
GWSS_E_00243_SE_01	2714	960	0,35	
GWSS_E_00244_SE_01	3624	1432	0,40	
GWSS_E_00245_SE_01	3028	1204	0,40	
GWSS_E_00246_SE_01	5509	2206	0,40	
GWSS_E_00247_SE_01	3509	1348	0,38	
GWSS_E_00248_SE_01	4352	1626	0,37	
GWSS_E_00300_SE_01	863	421	0,49	
GWSS_E_00300_SE_02	809	361	0,45	
GWSS_E_00301_SE_01	804	348	0,43	
GWSS_E_00301_SE_02	593	241	0,41	
GWSS_E_00302_SE_01	1044	502	0,48	
GWSS_E_00302_SE_02	432	162	0,38	
GWSS_E_00303_SE_01	582	252	0,43	
GWSS_E_00303_SE_02	317	121	0,38	
GWSS_E_00304_SE_01	999	437	0,44	
GWSS_E_00304_SE_02	2027	957	0,47	
GWSS_E_00305_SE_01	662	297	0,45	
GWSS_E_00305_SE_02	174	68	0,39	
GWSS_E_00306_SE_01	745	388	0,52	
GWSS_E_00306_SE_02	1275	525	0,41	
GWSS_E_00307_SE_01	566	263	0,46	
GWSS_E_00307_SE_02	684	297	0,43	
GWSS_E_00308_SE_01	443	212	0,48	
GWSS_E_00308_SE_02	1603	667	0,42	
GWSS_E_00309_SE_01	732	376	0,51	
GWSS_E_00309_SE_02	1516	626	0,41	
GWSS_E_00310_SE_01	805	372	0,46	
GWSS_E_00310_SE_02	693	281	0,41	
GWSS_E_00311_SE_01	1117	494	0,44	
GWSS_E_00311_SE_02	259	100	0,39	
GWSS_E_00312_SE_01	626	247	0,39	
GWSS_E_00312_SE_02	832	315	0,38	
GWSS_E_00313_SE_01	506	262	0,52	
GWSS_E_00313_SE_02	836	375	0,45	
GWSS_E_00314_SE_01	541	236	0,44	
GWSS_E_00314_SE_02	580	252	0,43	
GWSS_E_00315_SE_01	514	242	0,47	
GWSS_E_00315_SE_02	1024	439	0,43	
GWSS_E_00316_SE_01	664	314	0,47	
GWSS_E_00316_SE_02	540	272	0,50	
GWSS_E_00317_SE_01	729	374	0,51	
GWSS_E_00317_SE_02	406	145	0,36	
GWSS_E_00318_SE_01	458	215	0,47	
GWSS_E_00318_SE_02	1413	591	0,42	
