Speech Event	duration
FOLK_E_00350_SE_01	1:25:04
FOLK_E_00351_SE_01	1:23:30
FOLK_E_00352_SE_01	0:25:12
FOLK_E_00353_SE_01	0:45:07
FOLK_E_00354_SE_01	0:30:43
FOLK_E_00355_SE_01	0:52:32
FOLK_E_00356_SE_01	0:47:08
FOLK_E_00357_SE_01	1:17:10
FOLK_E_00359_SE_01	0:32:05
FOLK_E_00360_SE_01	0:29:14
FOLK_E_00361_SE_01	1:25:39
FOLK_E_00362_SE_01	0:05:08
FOLK_E_00363_SE_01	0:08:07
FOLK_E_00364_SE_01	0:08:17
FOLK_E_00365_SE_01	0:19:36
FOLK_E_00366_SE_01	0:02:17
FOLK_E_00367_SE_01	0:01:18
FOLK_E_00368_SE_01	0:04:36
FOLK_E_00370_SE_01	1:48:28
FOLK_E_00371_SE_01	0:09:24
