Speech Event	contributions per minute	average contribution length	% contributions with 1-2 words
FOLK_E_00174_SE_01	13,53	12,37	38,17	
FOLK_E_00175_SE_01	40,27	5,72	27,18	
FOLK_E_00176_SE_01	17,64	8,38	38,66	
FOLK_E_00177_SE_01	13,75	10,84	29,49	
FOLK_E_00178_SE_01	11,55	15,67	28,11	
FOLK_E_00179_SE_01	12,47	12,02	26,36	
FOLK_E_00180_SE_01	14,81	10,33	27,83	
FOLK_E_00181_SE_01	16,26	12,10	22,60	
FOLK_E_00182_SE_01	14,08	15,64	25,13	
FOLK_E_00183_SE_01	19,69	7,52	31,75	
FOLK_E_00184_SE_01	13,62	13,89	24,74	
FOLK_E_00185_SE_01	12,79	12,76	22,49	
FOLK_E_00186_SE_01	14,59	9,04	27,41	
FOLK_E_00187_SE_01	13,37	14,86	20,25	
FOLK_E_00188_SE_01	22,43	6,59	37,13	
FOLK_E_00189_SE_01	22,09	6,28	36,73	
FOLK_E_00190_SE_01	13,85	14,14	29,76	
FOLK_E_00191_SE_01	9,36	19,72	22,41	
FOLK_E_00193_SE_01	20,13	8,93	39,85	
FOLK_E_00194_SE_01	16,54	11,09	34,77	
FOLK_E_00197_SE_01	21,30	9,89	30,24	
FOLK_E_00198_SE_01	11,34	8,99	24,10	
FOLK_E_00201_SE_01	25,88	6,43	41,22	
FOLK_E_00202_SE_01	29,15	7,45	28,39	
FOLK_E_00203_SE_01	14,26	8,05	37,74	
FOLK_E_00204_SE_01	32,59	5,65	33,43	
FOLK_E_00206_SE_01	5,00	30,48	35,92	
FOLK_E_00207_SE_01	26,84	5,74	39,51	
FOLK_E_00208_SE_01	21,45	6,49	39,91	
FOLK_E_00209_SE_01	21,88	5,69	41,80	
FOLK_E_00210_SE_01	4,25	126,35	22,02	
FOLK_E_00211_SE_01	22,54	9,49	25,68	
FOLK_E_00212_SE_01	20,31	6,36	31,82	
FOLK_E_00213_SE_01	33,39	6,74	34,99	
FOLK_E_00214_SE_01	18,72	10,43	27,27	
FOLK_E_00215_SE_01	27,67	7,56	40,59	
FOLK_E_00216_SE_01	22,25	7,85	25,32	
FOLK_E_00217_SE_01	11,36	11,44	30,88	
FOLK_E_00218_SE_01	12,71	13,26	29,73	
FOLK_E_00219_SE_01	11,43	8,11	39,06	
FOLK_E_00220_SE_01	15,69	11,92	29,76	
FOLK_E_00221_SE_01	15,82	8,65	26,39	
FOLK_E_00223_SE_01	26,54	7,57	39,13	
FOLK_E_00224_SE_01	17,67	10,19	38,74	
FOLK_E_00225_SE_01	16,97	10,95	26,41	
FOLK_E_00226_SE_01	11,70	17,11	26,29	
FOLK_E_00227_SE_01	23,94	7,76	35,37	
FOLK_E_00228_SE_01	14,04	11,34	29,83	
FOLK_E_00229_SE_01	28,00	5,86	19,05	
FOLK_E_00230_SE_01	22,64	7,05	25,00	
FOLK_E_00231_SE_01	22,40	13,36	25,00	
FOLK_E_00235_SE_01	16,69	6,91	38,30	
FOLK_E_00237_SE_01	22,50	7,90	42,86	
FOLK_E_00238_SE_01	15,60	9,12	26,92	
FOLK_E_00239_SE_01	10,00	5,75	45,00	
FOLK_E_00243_SE_01	12,13	8,76	29,10	
FOLK_E_00246_SE_01	11,08	11,42	22,22	
FOLK_E_00248_SE_01	9,82	17,30	27,46	
FOLK_E_00250_SE_01	10,60	14,30	38,18	
FOLK_E_00251_SE_01	38,81	5,84	37,60	
FOLK_E_00252_SE_01	39,73	5,37	39,30	
FOLK_E_00253_SE_01	38,26	6,25	47,01	
FOLK_E_00254_SE_01	22,54	8,63	41,94	
FOLK_E_00255_SE_01	32,36	7,34	36,36	
FOLK_E_00256_SE_01	11,83	13,88	45,73	
FOLK_E_00257_SE_01	17,00	10,65	43,68	
FOLK_E_00258_SE_01	6,80	27,35	40,91	
FOLK_E_00259_SE_01	18,02	6,11	25,89	
FOLK_E_00260_SE_01	14,57	8,13	32,19	
FOLK_E_00261_SE_01	18,28	9,99	37,07	
FOLK_E_00262_SE_01	7,40	144,63	13,49	
FOLK_E_00263_SE_01	2,66	66,77	30,53	
FOLK_E_00264_SE_01	21,97	11,41	37,18	
FOLK_E_00265_SE_01	27,45	6,73	34,46	
FOLK_E_00266_SE_01	28,10	6,40	36,62	
FOLK_E_00267_SE_01	20,36	10,30	33,30	
FOLK_E_00268_SE_01	14,86	10,80	20,90	
FOLK_E_00269_SE_01	14,39	10,67	42,79	
FOLK_E_00270_SE_01	21,22	8,65	24,90	
FOLK_E_00271_SE_01	9,93	12,26	26,77	
FOLK_E_00272_SE_01	14,80	8,05	32,58	
FOLK_E_00273_SE_01	23,02	7,92	40,67	
FOLK_E_00274_SE_01	21,82	6,98	33,31	
FOLK_E_00285_SE_01	22,06	7,17	35,90	
FOLK_E_00286_SE_01	17,06	6,82	36,24	
FOLK_E_00287_SE_01	29,75	7,84	34,31	
FOLK_E_00288_SE_01	17,79	9,09	27,60	
FOLK_E_00289_SE_01	15,46	7,14	41,10	
FOLK_E_00290_SE_01	27,63	6,48	34,03	
FOLK_E_00291_SE_01	31,72	7,20	35,10	
FOLK_E_00292_SE_01	12,59	10,91	40,07	
FOLK_E_00293_SE_01	22,96	9,43	23,26	
FOLK_E_00294_SE_01	13,57	13,61	33,77	
FOLK_E_00295_SE_01	13,91	14,55	23,92	
FOLK_E_00296_SE_01	9,44	17,79	35,97	
FOLK_E_00298_SE_01	17,69	6,91	21,74	
FOLK_E_00299_SE_01	10,28	7,83	36,45	
FOLK_E_00300_SE_01	43,73	5,42	35,56	
FOLK_E_00301_SE_01	11,66	9,08	28,47	
FOLK_E_00302_SE_01	19,38	10,11	39,05	
FOLK_E_00303_SE_01	29,61	6,50	53,69	
FOLK_E_00304_SE_01	23,80	6,39	16,90	
FOLK_E_00305_SE_01	20,00	9,10	24,14	
FOLK_E_00308_SE_01	27,64	5,18	34,85	
FOLK_E_00309_SE_01	21,38	5,15	41,11	
FOLK_E_00313_SE_01	5,17	66,36	18,68	
FOLK_E_00318_SE_01	10,98	6,77	35,65	
FOLK_E_00319_SE_01	11,55	8,51	31,45	
FOLK_E_00321_SE_01	12,83	10,86	30,13	
FOLK_E_00322_SE_01	17,05	9,13	31,53	
FOLK_E_00323_SE_01	13,85	10,46	41,27	
FOLK_E_00324_SE_01	13,01	14,65	37,04	
FOLK_E_00325_SE_01	17,13	10,74	35,93	
FOLK_E_00327_SE_01	13,68	7,60	29,54	
FOLK_E_00329_SE_01	30,45	6,43	38,83	
FOLK_E_00330_SE_01	20,23	8,60	37,83	
FOLK_E_00331_SE_01	17,80	7,60	27,79	
FOLK_E_00332_SE_01	17,22	5,50	34,45	
FOLK_E_00333_SE_01	14,69	9,26	17,74	
FOLK_E_00334_SE_01	7,22	8,21	34,96	
FOLK_E_00335_SE_01	28,89	4,16	40,68	
FOLK_E_00337_SE_01	6,83	25,03	34,81	
FOLK_E_00338_SE_01	5,17	32,64	15,23	
FOLK_E_00339_SE_01	9,91	16,57	40,51	
FOLK_E_00340_SE_01	24,99	9,35	33,10	
FOLK_E_00342_SE_01	19,62	8,54	38,57	
FOLK_E_00343_SE_01	13,85	13,75	23,06	
FOLK_E_00344_SE_01	14,63	10,46	27,78	
FOLK_E_00345_SE_01	17,23	204,24	1,70	
FOLK_E_00346_SE_01	14,59	18,88	22,71	
FOLK_E_00347_SE_01	15,69	10,69	30,13	
FOLK_E_00348_SE_01	13,78	13,16	30,33	
FOLK_E_00349_SE_01	4,87	35,77	28,27	
FOLK_E_00350_SE_01	6,24	23,18	30,89	
FOLK_E_00351_SE_01	5,23	29,41	26,09	
FOLK_E_00352_SE_01	5,99	43,79	30,46	
FOLK_E_00353_SE_01	15,23	10,46	28,53	
FOLK_E_00354_SE_01	14,06	14,58	24,77	
FOLK_E_00355_SE_01	19,91	7,68	34,89	
FOLK_E_00356_SE_01	16,65	6,63	28,66	
FOLK_E_00357_SE_01	24,80	5,35	37,36	
FOLK_E_00359_SE_01	17,24	6,71	35,26	
FOLK_E_00360_SE_01	8,72	11,95	33,33	
FOLK_E_00361_SE_01	1,59	104,40	14,71	
FOLK_E_00362_SE_01	15,58	7,76	43,75	
FOLK_E_00363_SE_01	11,95	10,51	30,93	
FOLK_E_00364_SE_01	20,28	7,45	32,74	
FOLK_E_00365_SE_01	19,13	7,44	36,80	
FOLK_E_00366_SE_01	12,26	4,93	42,86	
FOLK_E_00367_SE_01	9,23	4,08	33,33	
FOLK_E_00368_SE_01	8,48	7,69	30,77	
FOLK_E_00370_SE_01	23,36	7,31	28,37	
FOLK_E_00371_SE_01	10,96	17,62	23,30	
