Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
GWSS_E_00192_SE_01	14,46	5,83	0,00	1,27	1,01	2,28	1,01	3,04	
GWSS_E_00193_SE_01	24,34	9,42	0,52	0,00	7,07	2,36	1,05	3,93	
GWSS_E_00194_SE_01	12,07	8,57	0,00	0,00	2,34	0,00	0,39	0,78	
GWSS_E_00195_SE_01	17,65	5,37	0,38	1,92	0,00	3,07	4,22	2,69	
GWSS_E_00196_SE_01	8,14	6,10	0,41	0,41	0,00	0,00	0,81	0,41	
GWSS_E_00197_SE_01	16,06	9,01	2,54	0,28	0,28	1,13	0,28	2,54	
GWSS_E_00198_SE_01	22,45	6,47	1,90	1,14	1,52	2,28	7,23	1,90	
GWSS_E_00199_SE_01	17,31	11,54	0,55	1,65	0,55	1,65	0,55	0,82	
GWSS_E_00200_SE_01	21,17	13,57	0,00	2,17	1,90	0,54	1,63	1,36	
GWSS_E_00201_SE_01	19,01	15,91	0,00	0,39	0,78	0,39	0,78	0,78	
GWSS_E_00202_SE_01	14,32	10,23	1,02	0,34	0,00	1,02	1,02	0,68	
GWSS_E_00203_SE_01	17,64	10,13	0,00	3,00	2,63	0,00	1,88	0,00	
GWSS_E_00204_SE_01	8,03	2,94	0,00	0,00	0,80	0,54	3,21	0,54	
GWSS_E_00205_SE_01	17,32	9,47	1,08	0,54	0,00	0,81	3,25	2,17	
GWSS_E_00206_SE_01	15,35	3,92	0,00	0,65	0,98	0,00	2,94	6,86	
GWSS_E_00207_SE_01	11,23	5,21	0,00	0,40	0,00	2,00	2,41	1,20	
GWSS_E_00208_SE_01	16,97	6,79	0,00	0,00	2,26	0,00	4,52	3,39	
GWSS_E_00209_SE_01	23,15	13,43	0,00	1,39	3,24	0,00	2,78	2,31	
GWSS_E_00210_SE_01	36,94	16,42	8,21	1,37	0,00	1,37	5,47	4,10	
GWSS_E_00211_SE_01	13,93	9,75	0,00	0,46	0,00	0,46	3,25	0,00	
GWSS_E_00212_SE_01	4,63	2,92	0,00	0,24	0,24	0,49	0,73	0,00	
GWSS_E_00213_SE_01	25,79	17,69	1,47	0,74	0,74	0,00	5,16	0,00	
GWSS_E_00214_SE_01	24,13	6,03	0,00	1,21	6,03	0,00	8,44	2,41	
GWSS_E_00215_SE_01	60,42	30,83	8,63	4,93	7,40	0,00	7,40	1,23	
GWSS_E_00216_SE_01	14,23	10,28	1,58	0,79	0,79	0,00	0,79	0,00	
GWSS_E_00217_SE_01	22,15	13,95	0,00	0,82	0,82	0,00	5,74	0,82	
GWSS_E_00218_SE_01	20,25	12,37	3,37	1,12	1,12	0,00	0,00	2,25	
GWSS_E_00219_SE_01	21,69	17,12	0,00	1,14	0,00	0,00	3,42	0,00	
GWSS_E_00220_SE_01	16,92	7,16	0,65	0,65	0,00	1,30	3,25	3,90	
GWSS_E_00221_SE_01	18,09	4,93	1,64	0,00	1,64	0,00	6,58	3,29	
GWSS_E_00222_SE_01	29,03	11,83	4,30	4,30	0,00	1,08	7,53	0,00	
GWSS_E_00223_SE_01	11,89	2,97	0,00	1,49	0,00	0,00	5,94	1,49	
GWSS_E_00224_SE_01	41,94	2,21	8,83	11,04	2,21	4,42	11,04	2,21	
GWSS_E_00225_SE_01	11,79	3,93	0,33	0,66	0,00	1,31	2,62	2,95	
GWSS_E_00226_SE_01	17,79	7,67	0,70	1,74	0,00	0,35	2,44	4,88	
GWSS_E_00227_SE_01	6,37	2,90	0,29	0,00	0,00	0,29	1,45	1,45	
GWSS_E_00228_SE_01	8,62	2,97	0,00	0,30	1,78	0,30	0,89	2,38	
GWSS_E_00229_SE_01	10,20	4,61	0,97	0,97	0,73	0,49	0,73	1,70	
GWSS_E_00230_SE_01	12,66	7,55	0,00	0,41	0,20	0,61	1,43	2,45	
GWSS_E_00231_SE_01	23,80	15,80	0,21	1,90	0,63	0,42	3,37	1,47	
GWSS_E_00232_SE_01	21,19	13,98	0,00	0,45	0,00	0,23	4,73	1,80	
GWSS_E_00233_SE_01	25,09	14,34	0,80	1,99	0,80	0,40	5,97	0,80	
GWSS_E_00234_SE_01	39,84	21,59	0,61	4,56	0,91	4,56	4,87	2,74	
GWSS_E_00235_SE_01	15,99	7,37	0,21	1,26	0,00	0,63	5,05	1,47	
GWSS_E_00236_SE_01	26,18	10,50	2,26	0,48	0,81	0,48	10,34	1,29	
GWSS_E_00237_SE_01	14,81	7,95	0,90	0,90	1,08	0,18	1,26	2,53	
GWSS_E_00238_SE_01	17,87	5,62	0,51	1,02	0,00	2,81	5,10	2,81	
GWSS_E_00239_SE_01	30,78	12,62	0,31	1,23	1,23	1,54	11,39	2,46	
GWSS_E_00240_SE_01	21,99	11,00	0,00	2,41	1,72	1,37	4,12	1,37	
GWSS_E_00241_SE_01	19,97	9,14	2,37	3,05	1,69	0,00	1,69	2,03	
GWSS_E_00242_SE_01	16,56	1,43	0,20	0,20	0,00	3,27	10,02	1,43	
GWSS_E_00243_SE_01	17,81	7,05	1,86	1,86	1,48	1,11	3,71	0,74	
