Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
FOLK_E_00161_SE_01	2,20	1,62	2,72	1,10	
FOLK_E_00162_SE_01	2,84	2,84	9,24	3,05	
FOLK_E_00163_SE_01	3,34	0,84	7,31	4,18	
FOLK_E_00165_SE_01	3,95	1,98	8,42	3,12	
FOLK_E_00166_SE_01	2,71	1,26	7,94	3,25	
FOLK_E_00167_SE_01	0,80	2,25	4,34	1,93	
FOLK_E_00168_SE_01	1,32	3,95	4,54	1,32	
FOLK_E_00169_SE_01	2,38	3,06	6,80	2,55	
FOLK_E_00171_SE_01	2,13	2,13	4,76	2,46	
FOLK_E_00172_SE_01	0,48	1,93	6,75	2,89	
FOLK_E_00173_SE_01	3,88	4,14	5,92	1,84	
FOLK_E_00174_SE_01	5,30	4,90	5,30	1,52	
FOLK_E_00175_SE_01	3,27	0,73	3,45	0,36	
FOLK_E_00176_SE_01	2,63	2,17	3,71	2,17	
FOLK_E_00177_SE_01	6,75	2,49	3,37	0,29	
FOLK_E_00178_SE_01	8,97	5,47	5,05	1,54	
FOLK_E_00179_SE_01	3,45	2,88	3,45	1,50	
FOLK_E_00180_SE_01	4,59	3,49	4,37	0,66	
FOLK_E_00181_SE_01	4,30	3,67	4,81	1,65	
FOLK_E_00182_SE_01	6,01	2,67	7,01	3,23	
FOLK_E_00183_SE_01	4,42	1,53	3,74	1,53	
FOLK_E_00184_SE_01	4,50	2,06	4,24	2,44	
FOLK_E_00185_SE_01	4,59	1,19	4,74	1,19	
FOLK_E_00186_SE_01	4,97	2,48	3,06	0,57	
FOLK_E_00187_SE_01	5,44	0,91	4,54	1,59	
FOLK_E_00188_SE_01	0,00	5,35	7,13	4,16	
FOLK_E_00189_SE_01	3,57	5,67	12,59	5,04	
FOLK_E_00190_SE_01	3,32	3,87	6,36	2,49	
FOLK_E_00191_SE_01	5,30	8,08	7,15	1,18	
FOLK_E_00193_SE_01	3,30	6,03	3,58	1,51	
FOLK_E_00194_SE_01	2,27	0,65	4,53	1,30	
FOLK_E_00197_SE_01	3,59	5,98	5,38	0,60	
FOLK_E_00198_SE_01	1,38	9,22	7,83	0,46	
FOLK_E_00201_SE_01	2,72	4,40	5,10	1,74	
FOLK_E_00202_SE_01	4,07	1,40	3,56	0,57	
FOLK_E_00203_SE_01	1,66	2,64	3,52	0,98	
FOLK_E_00204_SE_01	2,50	1,81	6,12	1,25	
FOLK_E_00206_SE_01	7,92	10,87	7,13	2,38	
FOLK_E_00207_SE_01	1,38	5,30	6,22	0,69	
FOLK_E_00208_SE_01	3,80	4,13	3,80	0,83	
FOLK_E_00209_SE_01	3,13	3,13	0,31	0,63	
FOLK_E_00210_SE_01	6,34	8,62	15,26	5,42	
FOLK_E_00211_SE_01	5,67	4,26	7,09	4,26	
FOLK_E_00212_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00213_SE_01	2,23	5,10	7,33	2,23	
FOLK_E_00214_SE_01	9,50	7,13	2,38	0,00	
FOLK_E_00215_SE_01	5,14	3,86	3,86	0,00	
FOLK_E_00216_SE_01	8,61	7,17	8,61	2,87	
FOLK_E_00217_SE_01	2,11	2,50	4,79	1,36	
FOLK_E_00218_SE_01	2,27	1,32	4,92	1,32	
FOLK_E_00219_SE_01	7,66	12,51	4,85	1,53	
FOLK_E_00220_SE_01	3,26	4,29	5,32	1,63	
