Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
FOLK_E_00299_SE_01	312	1630	142	1267	0.46	0.78	185	1368	0.59	0.84	232	1472	0.74	0.90	184	1353	0.59	0.83	207	1410	0.66	0.87	221	1449	0.71	0.89	232	1469	0.74	0.90	237	1476	0.76	0.91
FOLK_E_00300_SE_01	891	7219	308	5681	0.35	0.79	427	6251	0.48	0.87	522	6532	0.59	0.90	347	5924	0.39	0.82	426	6136	0.48	0.85	474	6240	0.53	0.86	507	6298	0.57	0.87	533	6366	0.60	0.88
FOLK_E_00301_SE_01	1088	8758	349	6876	0.32	0.79	505	7546	0.46	0.86	670	8005	0.62	0.91	421	7371	0.39	0.84	551	7629	0.51	0.87	611	7712	0.56	0.88	657	7791	0.60	0.89	673	7812	0.62	0.89
FOLK_E_00302_SE_01	263	987	129	731	0.49	0.74	165	831	0.63	0.84	202	903	0.77	0.91	167	820	0.63	0.83	194	861	0.74	0.87	206	881	0.78	0.89	213	895	0.81	0.91	214	896	0.81	0.91
FOLK_E_00303_SE_01	1071	9238	307	6867	0.29	0.74	448	7672	0.42	0.83	639	8343	0.60	0.90	426	7653	0.40	0.83	565	7989	0.53	0.86	628	8113	0.59	0.88	682	8204	0.64	0.89	711	8249	0.66	0.89
FOLK_E_00304_SE_01	154	452	91	360	0.59	0.80	106	382	0.69	0.85	124	411	0.81	0.91	101	373	0.66	0.83	112	388	0.73	0.86	116	395	0.75	0.87	117	396	0.76	0.88	117	396	0.76	0.88
FOLK_E_00305_SE_01	115	224	72	164	0.63	0.73	80	178	0.70	0.79	94	202	0.82	0.90	78	182	0.68	0.81	83	187	0.72	0.83	86	190	0.75	0.85	90	194	0.78	0.87	90	194	0.78	0.87
FOLK_E_00308_SE_01	1156	10013	306	7182	0.26	0.72	448	8004	0.39	0.80	668	8541	0.58	0.85	438	7566	0.38	0.76	577	7887	0.50	0.79	647	8079	0.56	0.81	689	8415	0.60	0.84	723	8465	0.63	0.85
FOLK_E_00309_SE_01	614	5042	245	3904	0.40	0.77	349	4256	0.57	0.84	419	4428	0.68	0.88	286	3813	0.47	0.76	332	3993	0.54	0.79	372	4134	0.61	0.82	394	4201	0.64	0.83	407	4255	0.66	0.84
FOLK_E_00311_SE_01	1492	10384	324	7701	0.22	0.74	480	8213	0.32	0.79	773	9034	0.52	0.87	505	7893	0.34	0.76	687	8359	0.46	0.80	789	8544	0.53	0.82	855	8688	0.57	0.84	899	8758	0.60	0.84
FOLK_E_00313_SE_01	1242	9754	286	7178	0.23	0.74	428	7885	0.34	0.81	653	8486	0.53	0.87	454	7684	0.37	0.79	607	8071	0.49	0.83	683	8208	0.55	0.84	737	8346	0.59	0.86	761	8397	0.61	0.86
FOLK_E_00315_SE_01	1586	9747	311	7004	0.20	0.72	467	7386	0.29	0.76	741	8096	0.47	0.83	507	7461	0.32	0.77	685	7876	0.43	0.81	767	8016	0.48	0.82	835	8133	0.53	0.83	893	8235	0.56	0.84
FOLK_E_00316_SE_01	1833	9460	347	6649	0.19	0.70	524	7102	0.29	0.75	798	7735	0.44	0.82	520	6974	0.28	0.74	721	7392	0.39	0.78	825	7607	0.45	0.80	907	7739	0.49	0.82	963	7824	0.53	0.83
